No.     Time        Source                Destination           Protocol Length Sequence number Acknowledgment number Info
      1 0.000000    192.168.1.102         128.119.245.12        TCP      62     0                                     health-polling > http [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1
    138 3.565426    192.168.1.102         128.119.245.12        TCP      1514   111697          1                     [TCP segment of a reassembled PDU]
    139 3.566442    192.168.1.102         128.119.245.12        TCP      1514   113157          1                     [TCP segment of a reassembled PDU]
    140 3.567324    192.168.1.102         128.119.245.12        TCP      946    114617          1                     [TCP segment of a reassembled PDU]
    144 3.840697    192.168.1.102         128.119.245.12        TCP      1514   115509          1                     [TCP segment of a reassembled PDU]
    145 3.841410    192.168.1.102         128.119.245.12        TCP      1514   116969          1                     [TCP segment of a reassembled PDU]
    146 3.842307    192.168.1.102         128.119.245.12        TCP      1514   118429          1                     [TCP segment of a reassembled PDU]
    147 3.843230    192.168.1.102         128.119.245.12        TCP      1514   119889          1                     [TCP segment of a reassembled PDU]
    148 3.844008    192.168.1.102         128.119.245.12        TCP      1514   121349          1                     [TCP segment of a reassembled PDU]
    149 3.844820    192.168.1.102         128.119.245.12        TCP      946    122809          1                     [TCP segment of a reassembled PDU]
    153 4.107686    192.168.1.102         128.119.245.12        TCP      1514   123701          1                     [TCP segment of a reassembled PDU]
    154 4.108476    192.168.1.102         128.119.245.12        TCP      1514   125161          1                     [TCP segment of a reassembled PDU]
    155 4.109329    192.168.1.102         128.119.245.12        TCP      1514   126621          1                     [TCP segment of a reassembled PDU]
    156 4.110217    192.168.1.102         128.119.245.12        TCP      1514   128081          1                     [TCP segment of a reassembled PDU]
    157 4.111334    192.168.1.102         128.119.245.12        TCP      1514   129541          1                     [TCP segment of a reassembled PDU]
    158 4.112209    192.168.1.102         128.119.245.12        TCP      946    131001          1                     [TCP segment of a reassembled PDU]
    162 4.380034    192.168.1.102         128.119.245.12        TCP      1514   131893          1                     [TCP segment of a reassembled PDU]
    163 4.380741    192.168.1.102         128.119.245.12        TCP      1514   133353          1                     [TCP segment of a reassembled PDU]
    164 4.381618    192.168.1.102         128.119.245.12        TCP      1514   134813          1                     [TCP segment of a reassembled PDU]
    165 4.382478    192.168.1.102         128.119.245.12        TCP      1514   136273          1                     [TCP segment of a reassembled PDU]
    166 4.383659    192.168.1.102         128.119.245.12        TCP      1514   137733          1                     [TCP segment of a reassembled PDU]
    167 4.384548    192.168.1.102         128.119.245.12        TCP      946    139193          1                     [TCP segment of a reassembled PDU]
    171 4.648386    192.168.1.102         128.119.245.12        TCP      1514   140085          1                     [TCP segment of a reassembled PDU]
    172 4.649100    192.168.1.102         128.119.245.12        TCP      1514   141545          1                     [TCP segment of a reassembled PDU]
    173 4.649993    192.168.1.102         128.119.245.12        TCP      1514   143005          1                     [TCP segment of a reassembled PDU]
    174 4.650926    192.168.1.102         128.119.245.12        TCP      1514   144465          1                     [TCP segment of a reassembled PDU]
    175 4.651858    192.168.1.102         128.119.245.12        TCP      1514   145925          1                     [TCP segment of a reassembled PDU]
    176 4.652735    192.168.1.102         128.119.245.12        TCP      946    147385          1                     [TCP segment of a reassembled PDU]
    180 4.920310    192.168.1.102         128.119.245.12        TCP      1514   148277          1                     [TCP segment of a reassembled PDU]
    181 4.921025    192.168.1.102         128.119.245.12        TCP      1514   149737          1                     [TCP segment of a reassembled PDU]
    182 4.921916    192.168.1.102         128.119.245.12        TCP      1514   151197          1                     [TCP segment of a reassembled PDU]
    183 4.922820    192.168.1.102         128.119.245.12        TCP      1514   152657          1                     [TCP segment of a reassembled PDU]
    184 4.923863    192.168.1.102         128.119.245.12        TCP      1514   154117          1                     [TCP segment of a reassembled PDU]
    185 4.924667    192.168.1.102         128.119.245.12        TCP      946    155577          1                     [TCP segment of a reassembled PDU]
    192 5.197508    192.168.1.102         128.119.245.12        TCP      1514   156469          1                     [TCP segment of a reassembled PDU]
    193 5.198388    192.168.1.102         128.119.245.12        TCP      1514   157929          1                     [TCP segment of a reassembled PDU]
    194 5.199275    192.168.1.102         128.119.245.12        TCP      1514   159389          1                     [TCP segment of a reassembled PDU]
    195 5.200252    192.168.1.102         128.119.245.12        TCP      1514   160849          1                     [TCP segment of a reassembled PDU]
    196 5.201150    192.168.1.102         128.119.245.12        TCP      1514   162309          1                     [TCP segment of a reassembled PDU]
    197 5.202024    192.168.1.102         128.119.245.12        TCP      326    163769          1                     [TCP segment of a reassembled PDU]
    199 5.297341    192.168.1.102         128.119.245.12        HTTP     104    164041          1                     POST /ethereal-labs/lab3-1-reply.htm HTTP/1.1  (text/plain)
    206 5.651141    192.168.1.102         128.119.245.12        TCP      54     164091          731                   health-polling > http [ACK] Seq=164091 Ack=731 Win=16790 Len=0
